[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.036) ALTER TABLE `django_admin_log` ADD CONSTRAINT `djang_content_type_id_697914295151027a_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_user_id_52fdd58701c5f563_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.048) ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_user_id_52fdd58701c5f563_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `django_admin_log_417f1b1c` ON `django_admin_log` (`content_type_id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.021) CREATE INDEX `django_admin_log_417f1b1c` ON `django_admin_log` (`content_type_id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `django_admin_log_e8701ad4` ON `django_admin_log` (`user_id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.031) CREATE INDEX `django_admin_log_e8701ad4` ON `django_admin_log` (`user_id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('admin', '0001_initial', '2015-03-09 22:56:54'); args=['admin', u'0001_initial', u'2015-03-09 22:56:54']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE TABLE `django_session` (`session_key` varchar(40) NOT NULL PRIMARY KEY, `session_data` longtext NOT NULL, `expire_date` datetime NOT NULL); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.044) CREATE TABLE `django_session` (`session_key` varchar(40) NOT NULL PRIMARY KEY, `session_data` longtext NOT NULL, `expire_date` datetime NOT NULL); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `django_session_de54fa62` ON `django_session` (`expire_date`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.019) CREATE INDEX `django_session_de54fa62` ON `django_session` (`expire_date`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('sessions', '0001_initial', '2015-03-09 22:56:54'); args=['sessions', u'0001_initial', u'2015-03-09 22:56:54']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'logentry' AND `django_content_type`.`app_label` = 'admin') LIMIT 21; args=('logentry', 'admin')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('log entry', 'admin', 'logentry'); args=[u'log entry', 'admin', 'logentry']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add log entry', 1, 'add_logentry'), ('Can change log entry', 1, 'change_logentry'), ('Can delete log entry', 1, 'delete_logentry'); args=(u'Can add log entry', 1, u'add_logentry', u'Can change log entry', 1, u'change_logentry', u'Can delete log entry', 1, u'delete_logentry')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin' ORDER BY `django_content_type`.`name` ASC; args=('admin',)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'permission' AND `django_content_type`.`app_label` = 'auth') LIMIT 21; args=('permission', 'auth')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('permission', 'auth', 'permission'); args=[u'permission', 'auth', 'permission']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'group' AND `django_content_type`.`app_label` = 'auth') LIMIT 21; args=('group', 'auth')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('group', 'auth', 'group'); args=[u'group', 'auth', 'group']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'user' AND `django_content_type`.`app_label` = 'auth') LIMIT 21; args=('user', 'auth')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('user', 'auth', 'user'); args=[u'user', 'auth', 'user']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (2, 3, 4) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3, 4)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add permission', 2, 'add_permission'), ('Can change permission', 2, 'change_permission'), ('Can delete permission', 2, 'delete_permission'), ('Can add group', 3, 'add_group'), ('Can change group', 3, 'change_group'), ('Can delete group', 3, 'delete_group'), ('Can add user', 4, 'add_user'), ('Can change user', 4, 'change_user'), ('Can delete user', 4, 'delete_user'); args=(u'Can add permission', 2, u'add_permission', u'Can change permission', 2, u'change_permission', u'Can delete permission', 2, u'delete_permission', u'Can add group', 3, u'add_group', u'Can change group', 3, u'change_group', u'Can delete group', 3, u'delete_group', u'Can add user', 4, u'add_user', u'Can change user', 4, u'change_user', u'Can delete user', 4, u'delete_user')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth' ORDER BY `django_content_type`.`name` ASC; args=('auth',)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'contenttype' AND `django_content_type`.`app_label` = 'contenttypes') LIMIT 21; args=('contenttype', 'contenttypes')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('content type', 'contenttypes', 'contenttype'); args=[u'content type', 'contenttypes', 'contenttype']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (5) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(5,)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add content type', 5, 'add_contenttype'), ('Can change content type', 5, 'change_contenttype'), ('Can delete content type', 5, 'delete_contenttype'); args=(u'Can add content type', 5, u'add_contenttype', u'Can change content type', 5, u'change_contenttype', u'Can delete content type', 5, u'delete_contenttype')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'contenttypes' ORDER BY `django_content_type`.`name` ASC; args=('contenttypes',)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'session' AND `django_content_type`.`app_label` = 'sessions') LIMIT 21; args=('session', 'sessions')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('session', 'sessions', 'session'); args=[u'session', 'sessions', 'session']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (6) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(6,)
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add session', 6, 'add_session'), ('Can change session', 6, 'change_session'), ('Can delete session', 6, 'delete_session'); args=(u'Can add session', 6, u'add_session', u'Can change session', 6, u'change_session', u'Can delete session', 6, u'delete_session')
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'sessions' ORDER BY `django_content_type`.`name` ASC; args=('sessions',)
[09/Mar/2015 17:57:59] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[09/Mar/2015 17:57:59] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:57:59] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[09/Mar/2015 17:58:18] WARNING [django.request:143] Not Found: /
[09/Mar/2015 17:58:18] WARNING [django.request:143] Not Found: /favicon.ico
[09/Mar/2015 17:58:49] WARNING [django.request:143] Not Found: /
[09/Mar/2015 17:58:49] WARNING [django.request:143] Not Found: /favicon.ico
[09/Mar/2015 18:01:35] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[09/Mar/2015 18:01:35] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
